port,open,service,banner,duration
8000,False,,,1.502
8001,False,,,1.502
8002,False,,,1.502
8003,False,,,1.502
8004,False,,,1.502
8005,False,,,1.502
8006,False,,,1.503
8007,False,,,1.502
8008,False,,,1.502
8009,False,,,1.502
8010,False,,,1.502
8011,False,,,1.502
8012,False,,,1.501
8013,False,,,1.501
8014,False,,,1.502
8015,False,,,1.502
8016,False,,,1.501
8017,False,,,1.502
8018,False,,,1.502
8019,False,,,1.502
8020,False,,,1.501
8021,False,,,1.015
8022,False,,,1.502
8023,False,,,1.502
8024,False,,,1.502
8025,False,,,1.501
8026,False,,,1.502
8027,False,,,1.501
8028,False,,,1.501
8029,False,,,1.502
8030,False,,,1.501
8031,False,,,1.5
8032,False,,,1.501
8033,False,,,1.501
8034,False,,,1.502
8035,False,,,1.501
8036,False,,,1.502
8037,False,,,1.501
8038,False,,,1.506
8039,False,,,1.506
8040,False,,,1.506
8041,False,,,1.505
8042,False,,,1.506
8043,False,,,1.502
8044,False,,,1.501
8045,False,,,1.501
8046,False,,,1.501
8047,False,,,1.501
8048,False,,,1.501
8049,False,,,1.501
8050,False,,,1.501
8051,False,,,1.501
8052,False,,,1.501
8053,False,,,1.501
8054,False,,,1.501
8055,False,,,1.501
8056,False,,,1.501
8057,False,,,1.501
8058,False,,,1.501
8059,False,,,1.501
8060,False,,,1.501
8061,False,,,1.501
8062,False,,,1.501
8063,False,,,1.501
8064,False,,,1.501
8065,False,,,1.501
8066,False,,,1.501
8067,False,,,1.502
8068,False,,,1.501
8069,False,,,1.501
8070,False,,,1.502
8071,False,,,1.502
8072,False,,,1.502
8073,False,,,1.502
8074,False,,,1.502
8075,False,,,1.501
8076,False,,,1.501
8077,False,,,1.501
8078,False,,,1.501
8079,False,,,1.501
8080,False,,,1.501
8081,False,,,1.5
8082,False,,,1.501
8083,False,,,1.5
8084,False,,,1.5
8085,False,,,1.501
8086,False,,,1.501
8087,False,,,1.5
8088,False,,,1.501
8089,False,,,1.501
8090,False,,,1.501
8091,False,,,1.501
8092,False,,,1.501
8093,False,,,1.501
8094,False,,,1.501
8095,False,,,1.501
8096,False,,,1.501
8097,False,,,1.501
8098,False,,,1.501
8099,False,,,1.501
8100,False,,,1.501
8101,False,,,1.5
8102,False,,,1.501
8103,False,,,1.501
8104,False,,,1.501
8105,False,,,1.501
8106,False,,,1.501
8107,False,,,1.5
8108,False,,,1.501
8109,False,,,1.501
8110,False,,,1.501
8111,False,,,1.501
8112,False,,,1.501
8113,False,,,1.501
8114,False,,,1.502
8115,False,,,1.501
8116,False,,,1.501
8117,False,,,1.501
8118,False,,,1.501
8119,False,,,1.501
8120,False,,,1.501
8121,False,,,1.5
8122,False,,,1.501
8123,False,,,1.501
8124,False,,,1.5
8125,False,,,1.501
8126,False,,,1.501
8127,False,,,1.501
8128,False,,,1.502
8129,False,,,1.501
8130,False,,,1.501
8131,False,,,1.501
8132,False,,,1.501
8133,False,,,1.501
8134,False,,,1.501
8135,False,,,1.501
8136,False,,,1.5
8137,False,,,1.501
8138,False,,,1.5
8139,False,,,1.501
8140,False,,,1.501
8141,False,,,1.501
8142,False,,,1.501
8143,False,,,1.501
8144,False,,,1.501
8145,False,,,1.501
8146,False,,,1.501
8147,False,,,1.501
8148,False,,,1.501
8149,False,,,1.501
8150,False,,,1.501
8151,False,,,1.501
8152,False,,,1.501
8153,False,,,1.501
8154,False,,,1.501
8155,False,,,1.501
8156,False,,,1.501
8157,False,,,1.501
8158,False,,,1.501
8159,False,,,1.501
8160,False,,,1.501
8161,False,,,1.501
8162,False,,,1.501
8163,False,,,1.501
8164,False,,,1.501
8165,False,,,1.501
8166,False,,,1.501
8167,False,,,1.501
8168,False,,,1.5
8169,False,,,1.501
8170,False,,,1.501
8171,False,,,1.501
8172,False,,,1.501
8173,False,,,1.501
8174,False,,,1.501
8175,False,,,1.502
8176,False,,,1.501
8177,False,,,1.5
8178,False,,,1.501
8179,False,,,1.5
8180,False,,,1.501
8181,False,,,1.501
8182,False,,,1.501
8183,False,,,1.501
8184,False,,,1.501
8185,False,,,1.501
8186,False,,,1.501
8187,False,,,1.501
8188,False,,,1.501
8189,False,,,1.501
8190,False,,,1.501
8191,False,,,1.501
8192,False,,,1.501
8193,False,,,1.501
8194,False,,,1.501
8195,False,,,1.5
8196,False,,,1.501
8197,False,,,1.501
8198,False,,,1.503
8199,False,,,1.503
8200,False,,,1.502
8201,False,,,1.502
8202,False,,,1.502
8203,False,,,1.502
8204,False,,,1.502
8205,False,,,1.501
8206,False,,,1.502
8207,False,,,1.502
8208,False,,,1.502
8209,False,,,1.502
8210,False,,,1.501
8211,False,,,1.501
8212,False,,,1.503
8213,False,,,1.503
8214,False,,,1.502
8215,False,,,1.501
8216,False,,,1.502
8217,False,,,1.501
8218,False,,,1.502
8219,False,,,1.502
8220,False,,,1.502
8221,False,,,1.501
8222,False,,,1.502
8223,False,,,1.501
8224,False,,,1.501
8225,False,,,1.502
8226,False,,,1.502
8227,False,,,1.502
8228,False,,,1.501
8229,False,,,1.502
8230,False,,,1.501
8231,False,,,1.502
8232,False,,,1.501
8233,False,,,1.501
8234,False,,,1.501
8235,False,,,1.501
8236,False,,,1.5
8237,False,,,1.501
8238,False,,,1.502
8239,False,,,1.501
8240,False,,,1.501
8241,False,,,1.501
8242,False,,,1.501
8243,False,,,1.501
8244,False,,,1.501
8245,False,,,1.501
8246,False,,,1.501
8247,False,,,1.501
8248,False,,,1.501
8249,False,,,1.501
8250,False,,,1.5
8251,False,,,1.501
8252,False,,,1.501
8253,False,,,1.501
8254,False,,,1.501
8255,False,,,1.501
8256,False,,,1.5
8257,False,,,1.501
8258,False,,,1.501
8259,False,,,1.501
8260,False,,,1.501
8261,False,,,1.501
8262,False,,,1.501
8263,False,,,1.501
8264,False,,,1.501
8265,False,,,1.501
8266,False,,,1.501
8267,False,,,1.5
8268,False,,,1.501
8269,False,,,1.501
8270,False,,,1.501
8271,False,,,1.501
8272,False,,,1.501
8273,False,,,1.502
8274,False,,,1.501
8275,False,,,1.501
8276,False,,,1.502
8277,False,,,1.502
8278,False,,,1.502
8279,False,,,1.501
8280,False,,,1.501
8281,False,,,1.5
8282,False,,,1.501
8283,False,,,1.501
8284,False,,,1.501
8285,False,,,1.501
8286,False,,,1.501
8287,False,,,1.501
8288,False,,,1.501
8289,False,,,1.501
8290,False,,,1.501
8291,False,,,1.501
8292,False,,,1.501
8293,False,,,1.501
8294,False,,,1.501
8295,False,,,1.501
8296,False,,,1.501
8297,False,,,1.501
8298,False,,,1.501
8299,False,,,1.501
8300,False,,,1.501
8301,False,,,1.5
8302,False,,,1.501
8303,False,,,1.501
8304,False,,,1.501
8305,False,,,1.501
8306,False,,,1.5
8307,False,,,1.501
8308,False,,,1.501
8309,False,,,1.501
8310,False,,,1.501
8311,False,,,1.501
8312,False,,,1.501
8313,False,,,1.501
8314,False,,,1.501
8315,False,,,1.501
8316,False,,,1.501
8317,False,,,1.501
8318,False,,,1.501
8319,False,,,1.501
8320,False,,,1.502
8321,False,,,1.501
8322,False,,,1.501
8323,False,,,1.5
8324,False,,,1.501
8325,False,,,1.501
8326,False,,,1.501
8327,False,,,1.501
8328,False,,,1.501
8329,False,,,1.502
8330,False,,,1.5
8331,False,,,1.501
8332,False,,,1.501
8333,False,,,1.501
8334,False,,,1.501
8335,False,,,1.501
8336,False,,,1.501
8337,False,,,1.501
8338,False,,,1.501
8339,False,,,1.501
8340,False,,,1.501
8341,False,,,1.501
8342,False,,,1.501
8343,False,,,1.501
8344,False,,,1.501
8345,False,,,1.5
8346,False,,,1.501
8347,False,,,1.501
8348,False,,,1.501
8349,False,,,1.501
8350,False,,,1.502
8351,False,,,1.501
8352,False,,,1.501
8353,False,,,1.501
8354,False,,,1.502
8355,False,,,1.501
8356,False,,,1.501
8357,False,,,1.501
8358,False,,,1.501
8359,False,,,1.501
8360,False,,,1.5
8361,False,,,1.501
8362,False,,,1.502
8363,False,,,1.501
8364,False,,,1.5
8365,False,,,1.501
8366,False,,,1.501
8367,False,,,1.501
8368,False,,,1.501
8369,False,,,1.501
8370,False,,,1.501
8371,False,,,1.501
8372,False,,,1.501
8373,False,,,1.501
8374,False,,,1.501
8375,False,,,1.501
8376,False,,,1.5
8377,False,,,1.501
8378,False,,,1.501
8379,False,,,1.501
8380,False,,,1.501
8381,False,,,1.501
8382,False,,,1.501
8383,False,,,1.501
8384,False,,,1.501
8385,False,,,1.5
8386,False,,,1.502
8387,False,,,1.501
8388,False,,,1.5
8389,False,,,1.501
8390,False,,,1.501
8391,False,,,1.501
8392,False,,,1.501
8393,False,,,1.501
8394,False,,,1.501
8395,False,,,1.501
8396,False,,,1.501
8397,False,,,1.5
8398,False,,,1.5
8399,False,,,1.501
8400,False,,,1.502
8401,False,,,1.501
8402,False,,,0.017
8403,False,,,1.501
8404,False,,,0.041
8405,False,,,1.502
8406,False,,,1.502
8407,False,,,1.501
8408,False,,,1.501
8409,False,,,1.501
8410,False,,,1.502
8411,False,,,1.501
8412,False,,,1.501
8413,False,,,1.501
8414,False,,,1.501
8415,False,,,1.502
8416,False,,,1.501
8417,False,,,1.501
8418,False,,,1.501
8419,False,,,1.501
8420,False,,,1.501
8421,False,,,1.501
8422,False,,,1.501
8423,False,,,1.501
8424,False,,,1.502
8425,False,,,1.502
8426,False,,,1.501
8427,False,,,1.501
8428,False,,,1.501
8429,False,,,1.501
8430,False,,,1.501
8431,False,,,1.501
8432,False,,,1.501
8433,False,,,1.501
8434,False,,,1.501
8435,False,,,1.501
8436,False,,,1.501
8437,False,,,1.501
8438,False,,,1.501
8439,False,,,1.501
8440,False,,,1.501
8441,False,,,1.501
8442,False,,,1.502
8443,False,,,1.502
8444,False,,,1.501
8445,False,,,1.502
8446,False,,,1.501
8447,False,,,1.501
8448,False,,,1.502
8449,False,,,1.501
8450,False,,,1.501
8451,False,,,1.501
8452,False,,,1.5
8453,False,,,1.501
8454,False,,,1.501
8455,False,,,1.5
8456,False,,,1.501
8457,False,,,1.501
8458,False,,,1.501
8459,False,,,1.501
8460,False,,,1.501
8461,False,,,1.501
8462,False,,,1.5
8463,False,,,1.501
8464,False,,,1.501
8465,False,,,1.501
8466,False,,,1.501
8467,False,,,1.501
8468,False,,,1.501
8469,False,,,1.501
8470,False,,,1.501
8471,False,,,1.502
8472,False,,,1.501
8473,False,,,1.501
8474,False,,,1.502
8475,False,,,1.501
8476,False,,,1.501
8477,False,,,1.501
8478,False,,,1.501
8479,False,,,1.501
8480,False,,,1.501
8481,False,,,1.501
8482,False,,,1.501
8483,False,,,1.501
8484,False,,,1.501
8485,False,,,1.501
8486,False,,,1.5
8487,False,,,1.501
8488,False,,,1.501
8489,False,,,1.501
8490,False,,,1.501
8491,False,,,1.501
8492,False,,,1.501
8493,False,,,1.5
8494,False,,,1.501
8495,False,,,1.5
8496,False,,,1.5
8497,False,,,1.501
8498,False,,,1.501
8499,False,,,1.501
8500,False,,,1.501
8501,False,,,1.501
8502,False,,,1.5
8503,False,,,1.501
8504,False,,,1.501
8505,False,,,1.5
8506,False,,,1.501
8507,False,,,1.501
8508,False,,,1.501
8509,False,,,1.501
8510,False,,,1.501
8511,False,,,1.501
8512,False,,,1.501
8513,False,,,1.501
8514,False,,,1.501
8515,False,,,1.502
8516,False,,,1.501
8517,False,,,1.501
8518,False,,,1.501
8519,False,,,1.501
8520,False,,,1.5
8521,False,,,1.501
8522,False,,,1.501
8523,False,,,1.501
8524,False,,,1.502
8525,False,,,1.501
8526,False,,,1.501
8527,False,,,1.501
8528,False,,,1.501
8529,False,,,1.501
8530,False,,,1.501
8531,False,,,1.501
8532,False,,,1.501
8533,False,,,1.501
8534,False,,,1.501
8535,False,,,1.501
8536,False,,,1.501
8537,False,,,1.501
8538,False,,,1.501
8539,False,,,1.501
8540,False,,,1.501
8541,False,,,1.501
8542,False,,,1.501
8543,False,,,1.501
8544,False,,,1.501
8545,False,,,1.501
8546,False,,,1.5
8547,False,,,1.501
8548,False,,,1.5
8549,False,,,1.501
8550,False,,,1.501
8551,False,,,1.501
8552,False,,,1.501
8553,False,,,1.502
8554,False,,,1.501
8555,False,,,1.501
8556,False,,,1.501
8557,False,,,1.5
8558,False,,,1.502
8559,False,,,1.501
8560,False,,,1.502
8561,False,,,1.502
8562,False,,,1.501
8563,False,,,1.501
8564,False,,,1.5
8565,False,,,1.501
8566,False,,,1.501
8567,False,,,1.5
8568,False,,,1.501
8569,False,,,1.501
8570,False,,,1.501
8571,False,,,1.501
8572,False,,,1.501
8573,False,,,1.5
8574,False,,,1.501
8575,False,,,1.502
8576,False,,,1.501
8577,False,,,1.501
8578,False,,,1.501
8579,False,,,1.501
8580,False,,,1.501
8581,False,,,1.501
8582,False,,,1.501
8583,False,,,1.501
8584,False,,,1.501
8585,False,,,1.501
8586,False,,,1.5
8587,False,,,1.501
8588,False,,,1.501
8589,False,,,1.501
