port,open,service,banner,duration
8289,False,,,0.067
8290,False,,,0.067
8291,False,,,0.06
8292,False,,,0.06
8293,False,,,0.067
8294,False,,,0.06
8295,False,,,0.059
8296,False,,,0.059
8297,False,,,0.066
8298,False,,,0.059
8299,False,,,0.066
8300,False,,,0.059
8301,False,,,0.059
8302,False,,,0.066
8303,False,,,0.058
8304,False,,,0.059
8305,False,,,0.066
8306,False,,,0.059
8307,False,,,0.059
8308,False,,,0.059
8309,False,,,0.066
8310,False,,,0.058
8311,False,,,0.062
8312,False,,,0.054
8313,False,,,0.064
8314,False,,,0.064
8315,False,,,0.066
8316,False,,,0.051
8317,False,,,0.079
8318,False,,,0.051
8319,False,,,0.066
8320,False,,,0.066
8321,False,,,0.052
8322,False,,,0.079
8323,False,,,0.079
8324,False,,,0.051
8325,False,,,0.078
8326,False,,,0.051
8327,False,,,0.051
8328,False,,,0.082
8329,False,,,0.05
8330,False,,,0.05
8331,False,,,0.05
8332,False,,,0.05
8333,False,,,0.079
8334,False,,,0.079
8335,False,,,0.079
8336,False,,,0.079
8337,False,,,0.079
8338,False,,,0.047
8339,False,,,0.079
8340,False,,,0.08
8341,False,,,0.049
8342,False,,,0.079
8343,False,,,0.048
8344,False,,,0.051
8345,False,,,0.048
8346,False,,,0.048
8347,False,,,0.079
8348,False,,,0.079
8349,False,,,0.051
8350,False,,,0.051
8351,False,,,0.051
8352,False,,,0.051
8353,False,,,0.051
8354,False,,,0.051
8355,False,,,0.078
8356,False,,,0.078
8357,False,,,0.078
8358,False,,,0.05
8359,False,,,0.05
8360,False,,,0.078
8361,False,,,0.049
8362,False,,,0.05
8363,False,,,0.049
8364,False,,,0.05
8365,False,,,0.078
8366,False,,,0.078
8367,False,,,0.078
8368,False,,,0.05
8369,False,,,0.05
8370,False,,,0.078
8371,False,,,0.076
8372,False,,,0.076
8373,False,,,0.077
8374,False,,,0.063
8375,False,,,0.077
8376,False,,,0.077
8377,False,,,0.077
8378,False,,,0.078
8379,False,,,0.064
8380,False,,,0.1
8381,False,,,0.063
8382,False,,,0.101
8383,False,,,0.078
8384,False,,,0.1
8385,False,,,0.076
8386,False,,,0.1
8387,False,,,0.078
8388,False,,,0.063
8389,False,,,0.068
8390,False,,,0.063
8391,False,,,0.1
8392,False,,,0.101
8393,False,,,0.1
8394,False,,,0.076
8395,False,,,0.063
8396,False,,,0.099
8397,False,,,0.063
8398,False,,,0.099
8399,False,,,0.07
8400,False,,,0.067
8401,False,,,0.1
8402,False,,,0.063
8403,False,,,0.099
8404,False,,,0.072
8405,False,,,0.099
8406,False,,,0.1
8407,False,,,0.1
8408,False,,,0.07
8409,False,,,0.1
8410,False,,,0.101
8411,False,,,0.1
8412,False,,,0.099
8413,False,,,0.099
8414,False,,,0.067
8415,False,,,0.074
8416,False,,,0.069
8417,False,,,0.074
8418,False,,,0.069
8419,False,,,0.073
8420,False,,,0.071
8421,False,,,0.069
8422,False,,,0.074
8423,False,,,0.071
8424,False,,,0.069
8425,False,,,0.069
8426,False,,,0.073
8427,False,,,0.099
8428,False,,,0.069
8429,False,,,0.07
8430,False,,,0.071
8431,False,,,0.071
8432,False,,,0.098
8433,False,,,0.075
8434,False,,,0.07
8435,False,,,0.072
8436,False,,,0.099
8437,False,,,0.098
8438,False,,,0.099
8439,False,,,0.075
8440,False,,,0.099
8441,False,,,0.098
8442,False,,,0.098
8443,False,,,0.072
8444,False,,,0.099
8445,False,,,0.098
8446,False,,,0.099
8447,False,,,0.098
8448,False,,,0.072
8449,False,,,0.098
8450,False,,,0.098
8451,False,,,0.098
8452,False,,,0.073
8453,False,,,0.098
8454,False,,,0.098
8455,False,,,0.099
8456,False,,,0.097
8457,False,,,0.072
8458,False,,,0.072
